english_sentence,isl_gloss
Procedure: 1.,PROCEDURE
Have your partner to find the pulse in your wrist and count your heartbeats for 15 seconds while you are seated.,YOU SECOND HAVE PARTNER FIND PULSE WRIST COUNT HEARTBEATS SEAT PAST
Calculate your resting heart rate in beats per minute. 2.,CALCULATE REST HEART RATE BEAT MINUTE
Have your partner to count your heart beats for 15 seconds after you jog or run for 5 minutes.,YOU MINUTE HAVE PARTNER COUNT HEART BEAT SECOND JOG RUN MINUTES PRESENT
Calculate your heart rate in beats per minute.,CALCULATE HEART RATE BEAT MINUTE
Analyse: • What causes your pulse ? • What causes the change in your heart beat rate in each situation ? 14.15.3 Cardiac Cycle The sequence of events occurring from the beginning to the completion of one heart beat is called cardiac cycle.,SEQUENCE BEAT CALL ANALYSE CAUSE PULSE CHANGE HEART RATE SITUATION CARDIAC CYCLE EVENTS OCCUR BEGIN COMPLETION ONE PRESENT PAST
During cardiac cycle blood flows through the chambers of the heart in a specific direction.,BLOOD DIRECTION FLOW CARDIAC CYCLE CHAMBER HEART SPECIFIC PRESENT
Each cardiac cycle lasts about 0.8 second.,CYCLE SECOND LAST CARDIAC PRESENT
The events during a single cardiac cycle involves (a) Atrial systole: Contraction of auricles (0.1 sec) (b) Ventricular systole: Contraction of ventricles (0.3 sec) (c) Ventricular diastole: Relaxation of ventricles (0.4 sec) Ventricular diastole (0.4 sec) Atrial systole (0.1 sec) Ventricular systole (0.3 sec) 14.15.4 Heart Sound The rhythmic closure and opening of the valves cause the sound of the heart.,SOUND HEART CAUSE EVENTS SINGLE CARDIAC CYCLE INVOLVE ATRIAL SYSTOLE CONTRACTION AURICLES SEC VENTRICULAR VENTRICLES C DIASTOLE RELAXATION RHYTHMIC CLOSURE OPEN VALVES PRESENT
The first sound LUBB is of longer duration and is produced by the closure of the tricuspid and bicuspid valves after the beginning of ventricular systole.,FIRST SOUND LUBB LONGER DURATION PRODUCE CLOSURE TRICUSPID BICUSPID VALVES BEGIN VENTRICULAR SYSTOLE PAST
The second sound DUPP is of a shorter duration and produced by the closure of semilunar valves at the end of ventricular systole. 14.16 Blood pressure Blood pressure is the force exerted during the flow of blood against the lateral walls of arteries.,SECOND SOUND DUPP SHORTER DURATION PRODUCE CLOSURE SEMILUNAR VALVES END VENTRICULAR SYSTOLE BLOOD PRESSURE FORCE EXERT FLOW LATERAL WALL ARTERIES PAST
The blood pressure is high in the arteries gradually drops in the arterioles and capillaries and become very low in the veins.,BLOOD PRESSURE HIGH ARTERIES GRADUALLY DROP ARTERIOLES CAPILLARIES BECOME VERY LOW VEIN PRESENT
Blood pressure is usually expressed in terms of the systolic pressure and diastolic pressure.,PRESSURE EXPRESS BLOOD USUALLY TERM SYSTOLIC DIASTOLIC HABITUAL PAST
"Systolic pressure: During ventricular systole, the left ventricle contracts and forces blood into the aorta.",SYSTOLIC PRESSURE VENTRICULAR SYSTOLE LEAVE VENTRICLE CONTRACT FORCE BLOOD AORTA PRESENT
The pressure rises to a peak which is referred as systolic pressure.,WHICH PRESSURE RISE PEAK REFER SYSTOLIC PRESENT PAST
"Diastolic pressure: During diastole, the ventricles relax and the pressure falls to the lowest value which is referred as diastolic pressure.",DIASTOLIC PRESSURE DIASTOLE VENTRICLES RELAX FALL LOWEST VALUE REFER PRESENT PAST
In an healthy adult during normal resting condition systolic and diastolic blood pressure is expressed as 120mm / 80mm Hg.,HEALTHY ADULT NORMAL REST CONDITION SYSTOLIC DIASTOLIC BLOOD PRESSURE EXPRESS MM PAST
"Blood pressure varies during conditions of physical exercise, anxiety, emotions, stress and sleep.",PRESSURE EXERCISE VARY BLOOD CONDITION PHYSICAL ANXIETY EMOTIONS STRESS SLEEP PRESENT
A prolonged or constant elevation of blood pressure is a condition known as hypertension (High blood pressure) can increase the risk of heart attack and stroke.,PROLONG CONSTANT ELEVATION BLOOD PRESSURE CONDITION KNOW HYPERTENSION HIGH INCREASE RISK HEART ATTACK STROKE PAST
Decrease in blood pressure is termed hypotension (Low blood pressure).,DECREASE PRESSURE TERM BLOOD HYPOTENSION LOW PAST
Stethoscope A stethoscope is used to detect the sound produced by the internal organs of human body.,STETHOSCOPE BODY USE DETECT SOUND PRODUCE INTERNAL ORGANS HUMAN PAST
The heart sound is heard by placing the 10th_Science Unit-14.indd 210 12/3/2022 3:01:48 PM 211 211 Transportation in Plants and Circulation in Animals Human blood contains certain specific substances called agglutinogens or antigens (Ag) and agglutinins or antibodies (Ab).,TRANSPORTATION SUBSTANCE HEAR HEART SOUND PLACE PM PLANT CIRCULATION ANIMALS HUMAN BLOOD CONTAIN CERTAIN SPECIFIC SUBSTANCES CALL AGGLUTINOGENS ANTIGENS AG AGGLUTININS ANTIBODIES AB PAST PRESENT
Antigens are found on the membrane surface of RBC.,ANTIGEN RBC FIND ANTIGENS MEMBRANE SURFACE PAST
Antibodies are present in blood plasma.,ANTIBODIES PRESENT BLOOD PLASMA
"Based on the presence or absence of antigen and antibodies human blood group is classified into four groups called A, B, AB and O.",BASE PRESENCE ABSENCE ANTIGEN ANTIBODIES HUMAN BLOOD GROUP CLASSIFY FOUR CALL B AB PAST PRESENT
An individual has one of the four blood groups. (i) ‘A’ group individuals: Antigen A is present on the surface of RBC and antibody b (anti-b) is present in the plasma. (ii) ‘B’ group individuals: Antigen B is present on the surface of RBC and antibody a (anti - a) is present in the plasma. (iii) ‘AB’ group individuals: Antigens A and B are present on the surface of RBC and both the antibodies are absent in the plasma. (iv) ‘O’ group individuals: Antigen A or B are absent on the surface of RBC.,A RBC HAVE INDIVIDUAL ONE FOUR BLOOD GROUP I INDIVIDUALS ANTIGEN PRESENT SURFACE ANTIBODY ANTI B PLASMA II III AB ANTIGENS ANTIBODIES ABSENT O
"However, the plasma contains both the antibodies a and b (anti a and b).",PLASMA ANTIBODY CONTAIN HOWEVER ANTIBODIES ANTI PRESENT
Blood donation In blood transfusion one must consider the antigen and antibody compatibility (matching) between the donor and the person receiving blood (recipient).,ONE BLOOD CONSIDER DONATION TRANSFUSION ANTIGEN ANTIBODY COMPATIBILITY MATCH DONOR PERSON RECEIVE RECIPIENT
When an individual receives a mismatched blood group from the donor agglutination (clumping) of blood occurs in the body which leads to death.,WHICH DEATH OCCUR INDIVIDUAL RECEIVE MISMATCH BLOOD GROUP DONOR AGGLUTINATION CLUMP BODY LEAD PRESENT
Persons with ‘AB’ blood group are called ‘Universal Recipient’ as they can receive blood from persons with any blood group.,THEY GROUP CALL PERSONS AB BLOOD UNIVERSAL RECIPIENT RECEIVE PAST
Persons with ‘O’ blood group are called ‘Universal Donor’ as they can donate blood to persons with any blood group.,THEY GROUP CALL PERSONS O BLOOD UNIVERSAL DONOR DONATE PAST
Rh factor Rh factor was discovered by Landsteiner and Wiener in 1940 in Rhesus monkey.,FACTOR MONKEY DISCOVER RH LANDSTEINER WIENER RHESUS PAST
The surface of RBC contains the antigen for Rh factor.,SURFACE FACTOR CONTAIN RBC ANTIGEN RH PRESENT
"Rh+ ( positive) persons have Rh antigen on the surface of RBC while, Rh– (negative) stethoscope on the chest.",PERSON CHEST HAVE POSITIVE PERSONS RH ANTIGEN SURFACE RBC NEGATIVE STETHOSCOPE PRESENT
It is a useful diagnostic tool to identify and localize health problems and diagnose disease.,USEFUL DIAGNOSTIC TOOL IDENTIFY LOCALIZE HEALTH PROBLEMS DIAGNOSE DISEASE
The modern electronic stethoscopes are high precisioned instruments.,MODERN ELECTRONIC STETHOSCOPES HIGH PRECISIONED INSTRUMENT PAST
Figure 14.14 Stethoscope Sphygmomanometer Sphygmomanometer is a clinical instrument used to measure blood pressure when a person is in a relaxed and resting condition.,FIGURE STETHOSCOPE SPHYGMOMANOMETER CLINICAL INSTRUMENT USE MEASURE BLOOD PRESSURE PERSON RELAX REST CONDITION PAST
The pressure of the brachial artery is measured.,PRESSURE ARTERY MEASURE BRACHIAL PAST
It helps to estimate the state of blood circulation and the working of the heart.,IT HEART HELP ESTIMATE STATE BLOOD CIRCULATION WORK PRESENT
It helps to diagnose conditions such as increased or decreased blood pressure.,IT PRESSURE HELP DIAGNOSE CONDITION SUCH INCREASE DECREASE BLOOD PRESENT PAST
Monometric and modern digital types are the apparatus used to measure blood pressure. (A) (B) Figure 14.15 Monometric (A) and Digital (B) type blood pressure apparatus 14.17 Blood Groups The concept of blood grouping was developed by Karl Landsteiner (1900).,CONCEPT LANDSTEINER DEVELOP MONOMETRIC MODERN DIGITAL TYPE APPARATUS USE MEASURE BLOOD PRESSURE B FIGURE GROUP KARL PAST
"He identified blood groups A, B and O.",HE A IDENTIFY BLOOD GROUP B PAST
AB blood group was recognized by Decastello and Sturli (1902). 10th_Science Unit-14.indd 211 12/3/2022 3:01:48 PM 212 10th Standard Science persons do not have Rh antigen on the surface of RBC.,PERSON RBC HAVE AB BLOOD GROUP RECOGNIZE DECASTELLO STURLI PM STANDARD SCIENCE PERSONS RH ANTIGEN SURFACE PAST NOT
"Antibodies developed against this Rh antigen is called Rh antibodies. 14.18 Lymphatic System The lymphatic system comprises of lymphatic capillaries, lymphatic vessels, lymph nodes and lymphatic ducts.",ANTIBODY CAPILLARY DEVELOP ANTIBODIES RH ANTIGEN CALL LYMPHATIC SYSTEM COMPRISE CAPILLARIES VESSELS LYMPH NOD DUCTS PAST
Lymph is the fluid that flows through the lymphatic system.,LYMPH FLUID FLOW LYMPHATIC SYSTEM PRESENT
The lymphatic capillaries unite to form large lymphatic vessels.,CAPILLARY VESSEL UNITE LYMPHATIC CAPILLARIES FORM LARGE VESSELS PRESENT
Lymph nodes are small oval or pear shaped structures located along the length of lymphatic vessels.,LYMPH NOD SMALL OVAL PEAR SHAPE STRUCTURE LOCATE LENGTH LYMPHATIC VESSELS PAST
Figure 14.16 Lymphatic System in Man Lymph node Lymph node Lymphatic duct Thoracic duct Lymph Lymph from the intercellular spaces drains into lymphatic capillaries.,LYMPH CAPILLARY FIGURE LYMPHATIC SYSTEM MAN NODE DUCT THORACIC INTERCELLULAR SPACE DRAIN CAPILLARIES PRESENT
"Lymph is a colourless fluid formed when plasma, proteins and blood cells escape into intercellular spaces in the tissues through the pores present in the walls of capillaries.",LYMPH COLOURLESS FLUID FORM PLASMA PROTEINS BLOOD CELLS ESCAPE INTERCELLULAR SPACE TISSUE PORE PRESENT WALL CAPILLARIES PAST
"It is similar to blood plasma, but is colourless and contains less proteins.The lymph contains very small amount of nutrients, oxygen, CO2, water and WBC.",LYMPH NUTRIENT CONTAIN SIMILAR BLOOD PLASMA COLOURLESS LESS PROTEINS VERY SMALL AMOUNT NUTRIENTS OXYGEN WATER WBC PRESENT
Functions of Lymph • Supplies nutrients and oxygen to those parts where blood cannot reach • It drains away excess tissue fluid and metabolites and returns proteins to the blood from tissue spaces. • The lymph also carries absorbed fats from small intestine to the blood.,LYMPH BLOOD CARRY FUNCTION SUPPLY NUTRIENTS OXYGEN PART REACH DRAIN AWAY EXCESS TISSUE FLUID METABOLITES RETURN PROTEINS SPACE ALSO ABSORB FAT SMALL INTESTINE PAST PRESENT NOT
The lymphatic capillaries of intestinal villi (lacteals) absorb digested fats. • Lymphocytes in the lymph defend the body from infections.,LYMPHOCYTE INFECTION DEFEND LYMPHATIC CAPILLARIES INTESTINAL VILLI LACTEALS ABSORB DIGEST FAT LYMPHOCYTES LYMPH BODY INFECTIONS PAST PRESENT
"Points to Remember  The movement of molecules from a region of higher concentration to a region of their lower concentration without the utilization of energy is called diffusion.  Osmosis is the movement of solvent or water molecules from the region of higher concentration to the region of lower concentration through a semi-permeable membrane.  Transpiration is the evaporation of water in plants through stomata in the leaves.  The circulatory system consists of the circulating fluids, the blood and lymph and the heart and its blood vessels.",SYSTEM FLUID CONSIST POINT REMEMBER MOVEMENT MOLECULES REGION HIGHER CONCENTRATION LOWER UTILIZATION ENERGY CALL DIFFUSION OSMOSIS SOLVENT WATER SEMI PERMEABLE MEMBRANE TRANSPIRATION EVAPORATION PLANT STOMATA LEAVE CIRCULATORY CIRCULATE FLUIDS BLOOD LYMPH HEART VESSELS PAST PRESENT
"Table 14.2 Distribution of Antigen (RBC) and Antibody (Plasma) in different Blood Groups Blood Group Antigens on RBC Antibodies in Plasma Can donate to Can receive from A Antigen A anti- b A and AB A and O B Antigen B anti- a B and AB B and O AB Antigen A and B No antibody AB A, B, AB and O (Universal Recipient) O No Antigen Both anti a and b A, B, AB and O (Universal Donor) O 10th_Science Unit-14.indd 212 12/3/2022 3:01:49 PM 213 213 Transportation in Plants and Circulation in Animals  The blood consists of two main components.",BLOOD COMPONENT ANTI TABLE DISTRIBUTION ANTIGEN RBC ANTIBODY PLASMA DIFFERENT GROUP ANTIGENS ANTIBODIES DONATE RECEIVE B AB O UNIVERSAL RECIPIENT DONOR PM TRANSPORTATION PLANT CIRCULATION ANIMALS CONSIST TWO MAIN COMPONENTS PRESENT NOT
"The fluid plasma and the formed elements (blood cells) which are found suspended in the plasma.  A muscular pumping organ that pumps out the blood into the blood vessels is called heart.  The blood circulates in our body as oxygenated and deoxygenated blood.  The supply of blood to the heart muscles (cardiac muscles) is called as coronary circulation.  One complete contraction (systole) and relaxation (diastole) of atrium and ventricles of heart is called a heartbeat.  The sequence of events which occur during the beginning and completion of one heart beat is called cardiac cycle.  Blood pressure is usually expressed as systolic pressure and diastolic pressure (120mm / 80 mm Hg)  An individual has one of the four blood groups A, B, AB and O.  Rh factor was discovered by Landsteiner and Wiener in 1940.  Lymph is a colourless fluid formed when plasma, proteins and blood cells escape into intercellular spaces in the tissues through the pores present in the walls of capillaries.",PLASMA CAPILLARY HAVE FLUID FORM ELEMENTS BLOOD CELLS FIND SUSPEND MUSCULAR PUMP ORGAN VESSELS CALL HEART CIRCULATE BODY OXYGENATE DEOXYGENATE SUPPLY MUSCLE CARDIAC CORONARY CIRCULATION ONE COMPLETE CONTRACTION SYSTOLE RELAXATION DIASTOLE ATRIUM VENTRICLES HEARTBEAT SEQUENCE EVENTS OCCUR BEGIN COMPLETION BEAT CYCLE PRESSURE USUALLY EXPRESS SYSTOLIC DIASTOLIC MM HG INDIVIDUAL FOUR GROUP B AB RH FACTOR DISCOVER LANDSTEINER WIENER LYMPH COLOURLESS PROTEINS ESCAPE INTERCELLULAR SPACE TISSUE PORE PRESENT WALL CAPILLARIES PAST HABITUAL
Choose the correct answer 1.,CHOOSE CORRECT ANSWER
Active transport involves a) movement of molecules from lower to higher concentration b) expenditure of energy c) it is an uphill task d) all of the above 2.,IT 2 INVOLVE ACTIVE TRANSPORT MOVEMENT MOLECULES LOWER HIGHER CONCENTRATION B EXPENDITURE ENERGY C UPHILL TASK ABOVE PRESENT
Water which is absorbed by roots is transported to aerial parts of the plant through a) cortex b) epidermis c) phloem d) xylem 3.,WHICH ) TRANSPORT WATER ABSORB ROOT AERIAL PART PLANT CORTEX B EPIDERMIS PHLOEM D XYLEM PAST
During transpiration there is loss of a) carbon dioxide b) oxygen c) water d) none of the above 4.,TRANSPIRATION LOSS CARBON DIOXIDE B OXYGEN C WATER D NONE ABOVE PRESENT NOT
Root hairs are a) cortical cell b) projection of epidermal cell c) unicellular d) both b and c 5.,ROOT HAIRS CORTICAL CELL B PROJECTION EPIDERMAL C UNICELLULAR
Which of the following process requires energy? a) active transport b) diffusion c) osmosis d) all of them 6.,WHICH THEY REQUIRE FOLLOW PROCESS ENERGY ACTIVE TRANSPORT B DIFFUSION C OSMOSIS PRESENT
The wall of human heart is made of a) Endocardium b) Epicardium c) Myocardium d) All of the above 7.,WALL 7 MAKE HUMAN HEART ENDOCARDIUM B EPICARDIUM C MYOCARDIUM D ABOVE PAST
Which is the correct sequence of blood flow a) ventricle atrium vein arteries b) atrium ventricle veins arteries c) atrium ventricle arteries vein d) ventricles vein atrium arteries 8.,CORRECT SEQUENCE BLOOD FLOW VENTRICLE ATRIUM VEIN ARTERIES B C VENTRICLES PRESENT PAST
A patient with blood group O was injured in an accident and has blood loss.,PATIENT LOSS INJURE BLOOD GROUP O ACCIDENT PAST PRESENT
Which group of blood should be used by doctor for transfusion? a) O group b) AB group c) A or B group d) all blood group TEXTBOOK EVALUATION 10th_Science Unit-14.indd 213 12/3/2022 3:01:49 PM 214 10th Standard Science 9. ‘Heart of heart’ is called a) SA node b) AV node c) Purkinje fibres d) Bundle of His 10.,HEART 10 CALL GROUP BLOOD USE DOCTOR TRANSFUSION O B AB TEXTBOOK EVALUATION PM STANDARD SCIENCE SA NODE AV PURKINJE FIBRES BUNDLE PAST
Which one of the following shows correct composition of blood a) Plasma - Blood + Lymphocyte b) Serum - Blood + Fibrinogen c) Lymph - Plasma + RBC + WBC d) Blood - Plasma + RBC+ WBC +Platelets II.,ONE BLOOD SHOW FOLLOW CORRECT COMPOSITION PLASMA LYMPHOCYTE SERUM FIBRINOGEN C LYMPH RBC WBC D PLATELETS II PRESENT
Fill in the blanks 1. __________ involves evaporative loss of water from aerial parts. 2.,_ PART INVOLVE FILL BLANK EVAPORATIVE LOSS WATER AERIAL PRESENT
Water enters into the root hair cell through __________ membrane. 3.,WATER MEMBRANE ENTER ROOT HAIR CELL PRESENT
Part of the root that absorbs water from the soil is __________. 4.,PART ROOT ABSORB WATER SOIL PRESENT
Normal blood pressure is __________. 5.,NORMAL BLOOD PRESSURE
The normal human heartbeat rate is about ____________ time per minute.,NORMAL HUMAN HEARTBEAT RATE TIME MINUTE
III.,III
Match the following Section I 1.,MATCH FOLLOW SECTION I
Symplastic pathway - Leaf 2.,SYMPLASTIC PATHWAY LEAF
Transpiration - Plasmodesmata 3.,TRANSPIRATION PLASMODESMATA
Osmosis - Pressure in xylem 4.,OSMOSIS PRESSURE XYLEM
Root Pressure - Pressure gradient Section II 1.,ROOT PRESSURE GRADIENT SECTION II
Leukemia - Thrombocytes 2.,LEUKEMIA THROMBOCYTES
Platelets - Phagocyte 3.,PLATELETS PHAGOCYTE
Monocytes - Decrease in leucocytes 4.,MONOCYTES DECREASE LEUCOCYTES
Leucopenia - Blood Cancer 5.,LEUCOPENIA BLOOD CANCER
AB blood group - Allergic condition 6.,AB BLOOD GROUP ALLERGIC CONDITION
O blood group - Inflammation 7.,BLOOD GROUP INFLAMMATION
Eosinophil - Absence of antigen 8.,EOSINOPHIL ABSENCE ANTIGEN
Neutrophils - Absence of antibody IV.,NEUTROPHILS ABSENCE ANTIBODY IV
State whether True or False.,STATE TRUE FALSE
If false write the correct statement 1.,FALSE STATEMENT WRITE CORRECT
The phloem is responsible for the translocation of food. 2.,PHLOEM RESPONSIBLE TRANSLOCATION FOOD
Plants lose water by the process of transpiration. 3.,PLANT TRANSPIRATION LOSE WATER PROCESS PRESENT
The form of sugar transported through the phloem is glucose. 4.,FORM SUGAR TRANSPORT PHLOEM GLUCOSE PAST
In apoplastic movement the water travels through the cell membrane and enter the cell. 5.,WATER CELL TRAVEL APOPLASTIC MOVEMENT MEMBRANE ENTER PRESENT
When guard cells lose water the stoma opens. 6.,STOMA . OPEN GUARD CELLS LOSE WATER PRESENT
Initiation and stimulation of heart beat take place by nerves. 7.,INITIATION NERVE BEAT STIMULATION HEART TAKE PLACE PAST
All veins carry deoxygenated blood. 8.,VEIN BLOOD CARRY DEOXYGENATE PRESENT
WBC defend the body from bacterial and viral infections. 9.,WBC INFECTION DEFEND BODY BACTERIAL VIRAL INFECTIONS PRESENT
The closure of the mitral and tricuspid valves at the start of the ventricular systole produces the first sound ‘LUBB’.,CLOSURE LUBB PRODUCE MITRAL TRICUSPID VALVES START VENTRICULAR SYSTOLE FIRST SOUND PRESENT
Answer in a word or sentence 1.,ANSWER WORD SENTENCE
Name two layered protective covering of human heart. 2.,NAME TWO LAYER PROTECTIVE COVER HUMAN HEART PAST
What is the shape of RBC in human blood? 3.,SHAPE RBC HUMAN BLOOD
Why is the colour of the blood red ? 4.,COLOUR BLOOD RED
Which kind of cells are found in the lymph? 5.,KIND LYMPH FIND CELLS PAST
Name the heart valve associated with the major arteries leaving the ventricles. 6.,NAME HEART VALVE ASSOCIATE MAJOR ARTERIES LEAVE VENTRICLES PAST
Mention the artery which supplies blood to the heart muscle.,MENTION ARTERY SUPPLY BLOOD HEART MUSCLE PRESENT
VI.,VI
Short answer questions 1.,SHORT ANSWER QUESTION PRESENT
What causes the opening and closing of guard cells of stomata during transpiration? 2.,WHAT TRANSPIRATION CAUSE OPEN CLOSE GUARD CELLS STOMATA PRESENT
What is cohesion? 3.,COHESION
Trace the pathway followed by water molecules from the time it enters a plant root to the time it escapes into the atmosphere from a leaf. 10th_Science Unit-14.indd 214 12/3/2022 3:01:49 PM 215 215 Transportation in Plants and Circulation in Animals 4.,IT ANIMALS TRACE PATHWAY FOLLOW WATER MOLECULES TIME ENTER PLANT ROOT ESCAPE ATMOSPHERE LEAF PM TRANSPORTATION CIRCULATION PAST PRESENT
What would happen to the leaves of a plant that transpires more water than its absorption in the roots? 5.,THAT ROOT HAPPEN LEAVE PLANT TRANSPIRE MORE WATER ABSORPTION PRESENT
Describe the structure and working of the human heart. 6.,DESCRIBE STRUCTURE WORK HUMAN HEART
Why is the circulation in man referred to as double circulation? 7.,CIRCULATION MAN REFER DOUBLE PAST
What are heart sounds?,HEART SOUND WHAT
How are they produced? 8.,PRODUCE PAST
What is the importance of valves in the heart? 9.,IMPORTANCE VALVES HEART
Who discovered Rh factor?,WHO FACTOR DISCOVER RH PAST
Why was it named so? 10.,NAME PAST
How are arteries and veins structurally different from one another? 11 Why is the Sinoatrial node called the pacemaker of heart? 12.,ARTERIES VEIN STRUCTURALLY DIFFERENT ONE SINOATRIAL NODE CALL PACEMAKER HEART PAST
Differentiate between systemic circulation and pulmonary circulation. 13.,DIFFERENTIATE SYSTEMIC CIRCULATION PULMONARY
The complete events of cardiac cycle last for 0.8 sec.,COMPLETE EVENTS CARDIAC CYCLE LAST SEC
What is the timing for each event?,TIME EVENT WHAT
VII.,VII
Give reasons for the following statements 1.,GIVE REASON FOLLOW STATEMENTS
Minerals cannot be passively absorbed by the roots. 2.,MINERAL ROOT ABSORB MINERALS PASSIVELY PAST NOT
Guard cells are responsible for opening and closing of stomata. 3.,GUARD CELLS RESPONSIBLE OPEN CLOSE STOMATA
The movement of substances in the phloem can be in any direction. 4.,MOVEMENT SUBSTANCES PHLOEM DIRECTION
Minerals in the plants are not lost when the leaf falls. 5.,LEAF PLANT LOSE MINERALS FALL PAST PRESENT NOT
The walls of the right ventricle are thicker than the right auricles. 6.,WALL RIGHT VENTRICLE THICKER AURICLES
Mature RBC in mammals do not have cell organelles.,RBC ORGANELLE HAVE MATURE MAMMALS CELL ORGANELLES NOT
VIII.,VIII
Long answer questions 1.,LONG ANSWER QUESTION
How do plants absorb water?,PLANT WATER ABSORB HOW
Explain. 2.,EXPLAIN
What is transpiration?,TRANSPIRATION WHAT
Give the importance of transpiration. 3.,GIVE IMPORTANCE TRANSPIRATION
Why are leucocytes classified as granulocytes and agranulocytes?,LEUCOCYTE GRANULOCYTE CLASSIFY LEUCOCYTES GRANULOCYTES AGRANULOCYTES PAST WHY
Name each cell and mention its functions. 4.,NAME CELL MENTION FUNCTION
Differentiate between systole and diastole.,DIFFERENTIATE SYSTOLE DIASTOLE
Explain the conduction of heart beat. 5.,EXPLAIN CONDUCTION HEART BEAT
Enumerate the functions of blood.,ENUMERATE FUNCTION BLOOD
IX.,IX
Assertion and Reasoning Direction: In each of the following questions a statement of assertion (A) is given and a corresponding statement of reason (R) is given just below it.,STATEMENT IT GIVE ASSERTION REASON DIRECTION FOLLOW QUESTION CORRESPOND R JUST PAST
Mark the correct statement as. a.,MARK CORRECT STATEMENT
If both A and R are true and R is correct explanation of A b.,R TRUE CORRECT EXPLANATION
If both A and R are true but R is not the correct explanation of A c.,R TRUE CORRECT EXPLANATION NOT
A is true but R is false d.,TRUE R FALSE
Both A and R are false 1.,R FALSE
Assertion: RBC plays an important role in the transport of respiratory gases.,RBC GAS PLAY ASSERTION IMPORTANT ROLE TRANSPORT RESPIRATORY PRESENT
Reason: RBC do not have cell organelles and nucleus. 2.,RBC ORGANELLE HAVE REASON CELL ORGANELLES NUCLEUS NOT
"Assertion: Persons with AB blood group are called an universal recipients, because they can receive blood from all groups.",ASSERTION PERSONS AB BLOOD GROUP CALL UNIVERSAL RECIPIENTS RECEIVE PAST
Reason: Antibodies are absent in persons with AB blood group.,REASON ANTIBODIES ABSENT PERSONS AB BLOOD GROUP
Higher Order Thinking Skills (HOTS) 1.,HIGHER ORDER THINK SKILLS HOTS
"When any dry plant material is kept in water, they swell up.",THEY WATER SWELL DRY PLANT MATERIAL KEEP PAST PRESENT
Name and define the phenomenon involved in this change. 2.,NAME DEFINE PHENOMENON INVOLVE CHANGE PAST
Why are the walls of the left ventricle thicker than the other chambers of the heart? 3.,WALL LEAVE VENTRICLE THICKER OTHER CHAMBER HEART
Doctors use stethoscope to hear the sound of the heart.,DOCTOR HEART USE STETHOSCOPE HEAR SOUND PRESENT
How does the pulmonary artery and pulmonary vein differ in their function when compared to a normal artery and vein? 5.,ARTERY DIFFER PULMONARY VEIN FUNCTION COMPARE NORMAL PRESENT PAST
Transpiration is a necessary evil in plants.,TRANSPIRATION NECESSARY EVIL PLANT
Explain. 10th_Science Unit-14.indd 215 12/3/2022 3:01:49 PM 216 10th Standard Science REFERENCE BOOKS 1.,EXPLAIN PM STANDARD SCIENCE REFERENCE BOOK
"Jain, Fundamentals of Plant physiology, S.Chand and Company, New Delhi 2.",JAIN FUNDAMENTALS PLANT PHYSIOLOGY COMPANY NEW DELHI
"D.G Maclean and Dave Hayward, Biology Cambridge IGCSE 3.",MACLEAN DAVE HAYWARD BIOLOGY CAMBRIDGE IGCSE
"S.C.Rastogi., Essential of Animal Physiology, 4th Edition, New Age International Publishers 4.",ESSENTIAL ANIMAL PHYSIOLOGY EDITION NEW AGE INTERNATIONAL PUBLISHERS
Elain N.,ELAIN
"Marieb and Katja Hoehn, 2011, Anatomy and Physiology, 4th Edition, Pearson Publications.",MARIEB KATJA HOEHN ANATOMY PHYSIOLOGY EDITION PEARSON PUBLICATIONS
